Country,Year,"Count of terrorist incidents"
Nepal,1999,4
Nepal,2001,7
Nepal,2002,92
Nepal,2003,36
Nepal,2004,111
Nepal,2005,97
Nepal,2006,98
Nepal,2007,10
Nepal,2008,37
Netherlands,1969,1
Netherlands,1970,4
Netherlands,1971,2
Netherlands,1972,2
Netherlands,1973,1
Netherlands,1974,3
Netherlands,1975,2
Netherlands,1977,5
Netherlands,1978,4
Netherlands,1979,3
Netherlands,1982,5
Netherlands,1983,3
Netherlands,1984,1
Netherlands,1985,2
Netherlands,1986,1
Netherlands,1988,2
Netherlands,1989,5
Netherlands,1990,5
Netherlands,1991,2
Netherlands,1992,3
Netherlands,1994,1
Netherlands,1995,7
Netherlands,1997,3
Netherlands,1999,2
Netherlands,2002,3
Netherlands,2003,2
Netherlands,2004,2
"New Zealand",1969,1
"New Zealand",1973,1
"New Zealand",1985,1
"New Zealand",2002,1
"New Zealand",2003,1
Nicaragua,1974,1
Nicaragua,1979,4
Nicaragua,1981,2
Nicaragua,1982,1
Nicaragua,1983,3
Nicaragua,1984,14
Nicaragua,1985,4
Nicaragua,1986,3
Nicaragua,1987,1
Nicaragua,1988,2
Nicaragua,1989,1
Nicaragua,1990,1
Nicaragua,1992,1
Nicaragua,1994,2
Nicaragua,1995,1
Nicaragua,1996,3
Nicaragua,1998,1
Nicaragua,2001,1
Niger,1997,1
Nigeria,1988,1
Nigeria,1992,1
Nigeria,1993,1
Nigeria,1997,2
Nigeria,1998,2
Nigeria,1999,1
Nigeria,2000,1
Nigeria,2001,6
Nigeria,2002,1
Nigeria,2004,1
Nigeria,2006,21
Nigeria,2007,16
Nigeria,2008,18
Nigeria,2009,2
Norway,1968,1
Norway,1973,1
Norway,1979,1
Norway,1985,1
Norway,1987,1
Norway,1991,1
Norway,1993,1
Norway,1994,1
Norway,1998,1
Norway,2000,1
Norway,2006,1
OWID_GDR,1978,2
OWID_GDR,1985,1
OWID_GDR,1986,1
OWID_GDR,1990,1
OWID_GDR,1996,1
OWID_GFR,1968,1
OWID_GFR,1969,9
OWID_GFR,1970,8
OWID_GFR,1971,3
OWID_GFR,1972,12
OWID_GFR,1973,9
OWID_GFR,1974,4
OWID_GFR,1975,4
OWID_GFR,1976,15
OWID_GFR,1977,2
OWID_GFR,1978,17
OWID_GFR,1979,11
OWID_GFR,1980,7
OWID_GFR,1981,23
OWID_GFR,1982,52
OWID_GFR,1983,6
OWID_GFR,1984,14
OWID_GFR,1985,24
OWID_GFR,1986,13
OWID_GFR,1987,12
OWID_GFR,1988,13
OWID_GFR,1989,12
OWID_GFR,1990,4
OWID_GFR,1991,31
OWID_GFR,1992,35
OWID_GFR,1993,18
OWID_GFR,1994,6
OWID_GFR,1995,72
OWID_GFR,1996,20
OWID_GFR,1997,2
OWID_GFR,2008,1
OWID_KOS,1998,63
OWID_KOS,1999,9
OWID_KOS,2000,2
OWID_KOS,2001,9
OWID_KOS,2002,16
OWID_KOS,2003,11
OWID_KOS,2004,9
OWID_KOS,2005,12
OWID_KOS,2008,1
Pakistan,1950,1
Pakistan,1951,2
Pakistan,1952,6
Pakistan,1953,2
Pakistan,1954,4
Pakistan,1955,1
Pakistan,1956,4
Pakistan,1957,3
Pakistan,1958,1
Pakistan,1959,3
Pakistan,1960,4
Pakistan,1961,3
Pakistan,1962,4
Pakistan,1963,12
Pakistan,1964,26
Pakistan,1965,34
Pakistan,1966,15
Pakistan,1967,4
Pakistan,1968,11
Pakistan,1969,2
Pakistan,1970,1
Pakistan,1971,1
Pakistan,1972,9
Pakistan,1973,8
Pakistan,1974,5
Pakistan,1975,48
Pakistan,1976,30
Pakistan,1977,33
Pakistan,1978,47
Pakistan,1979,80
Pakistan,1980,69
Pakistan,1981,84
Pakistan,1982,164
Pakistan,1983,254
Pakistan,1984,202
Pakistan,1985,81
Pakistan,1986,19
Palestine,1970,1
Palestine,1972,1
Palestine,1976,1
Palestine,1977,1
Palestine,1979,2
Palestine,1980,1
Palestine,1985,7
Palestine,1990,3
Palestine,1991,2
Palestine,1993,1
Palestine,1994,5
Palestine,1995,5
Palestine,1996,2
Palestine,1997,1
Palestine,1998,31
Palestine,1999,10
Palestine,2000,167
Palestine,2001,328
Palestine,2002,432
Palestine,2003,164
Palestine,2004,351
Palestine,2005,478
Palestine,2006,28
Palestine,2007,16
Panama,1976,2
Panama,1977,1
Panama,1980,1
Panama,1987,1
Panama,1989,1
Panama,1990,5
Panama,1991,4
Panama,1992,5
Panama,1993,1
Panama,1994,1
Panama,1996,1
"Papua New Guinea",1990,4
"Papua New Guinea",1995,1
Paraguay,1970,1
Paraguay,1973,1
Paraguay,1976,1
Paraguay,1980,1
Paraguay,1998,1
Paraguay,1999,1
Paraguay,2000,2
Paraguay,2004,1
Paraguay,2005,1
Paraguay,2006,1
Peru,1969,1
Peru,1970,2
Peru,1973,3
Peru,1974,12
Peru,1975,1
Peru,1977,2
Peru,1978,2
Peru,1980,1
Peru,1981,17
Peru,1982,8
Peru,1983,12
Peru,1984,12
Peru,1985,15
Peru,1986,44
Peru,1987,38
Peru,1988,15
Peru,1989,29
Peru,1990,26
Peru,1991,44
Peru,1992,14
Peru,1993,17
Peru,1994,2
Peru,1995,2
Peru,1996,2
Peru,1997,3
Peru,1998,10
Peru,1999,3
Peru,2000,4
Peru,2001,5
Peru,2002,6
Peru,2003,3
Peru,2004,2
Peru,2005,6
Peru,2007,2
Peru,2008,1
Peru,2009,5
Philippines,1969,2
Philippines,1970,5
Philippines,1971,7
Philippines,1972,2
Philippines,1974,1
Philippines,1975,4
Philippines,1976,5
Philippines,1978,3
Philippines,1980,5
Philippines,1983,1
Philippines,1984,1
Philippines,1985,3
Philippines,1986,3
Philippines,1987,18
Philippines,1988,14
Philippines,1989,9
Philippines,1990,36
Philippines,1991,3
Philippines,1992,5
Philippines,1993,3
Philippines,1994,7
Philippines,1995,2
Philippines,1996,5
Philippines,1997,7
Philippines,1998,14
Philippines,1999,8
Philippines,2000,41
Philippines,2001,43
Philippines,2002,43
Philippines,2003,19
Philippines,2004,21
Philippines,2005,41
Philippines,2006,32
Philippines,2007,53
Philippines,2008,126
Philippines,2009,1
Poland,1977,1
Poland,1981,1
Poland,1990,4
Poland,1992,1
Poland,1993,1
Poland,1996,1
Poland,1997,1
Poland,1998,4
Portugal,1950,1
Portugal,1951,1
Portugal,1952,1
Portugal,1953,1
Portugal,1954,8
Portugal,1955,2
Portugal,1956,1
Portugal,1957,2
Portugal,1958,2
Portugal,1959,3
Portugal,1960,4
Portugal,1961,2
Portugal,1962,6
Portugal,1963,12
Portugal,1964,3
Portugal,1965,2
"Puerto Rico",1970,1
"Puerto Rico",1972,1
"Puerto Rico",1973,1
"Puerto Rico",1974,8
"Puerto Rico",1975,2
"Puerto Rico",1977,1
"Puerto Rico",1978,2
"Puerto Rico",1979,2
"Puerto Rico",1998,3
Qatar,2004,1
Qatar,2005,1
Romania,1984,1
Romania,1985,1
Romania,1988,1
Romania,1991,1
Romania,1994,1
Russia,1993,2
Russia,1994,2
Russia,1995,3
Russia,1996,7
Russia,1997,7
Russia,1998,89
Russia,1999,49
Russia,2000,19
Russia,2001,50
Russia,2002,104
Russia,2003,82
Russia,2004,130
Russia,2005,128
Russia,2006,120
Russia,2007,82
Russia,2008,29
Russia,2009,8
Rwanda,1992,1
Rwanda,1994,4
"Saudi Arabia",1950,1
"Saudi Arabia",1951,3
"Saudi Arabia",1952,1
"Saudi Arabia",1953,3
"Saudi Arabia",1954,1
"Saudi Arabia",1955,1
"Saudi Arabia",1956,3
"Saudi Arabia",1957,1
"Saudi Arabia",1958,2
"Saudi Arabia",1959,4
"Saudi Arabia",1960,5
"Saudi Arabia",1961,6
"Saudi Arabia",1962,12
"Saudi Arabia",1963,15
"Saudi Arabia",1964,3
"Saudi Arabia",1965,3
"Saudi Arabia",1966,2
Senegal,1995,2
Serbia,1993,3
Serbia,1998,5
Serbia,1999,2
Serbia,2000,1
Serbia,2001,2
Serbia,2002,9
Serbia,2003,4
Serbia,2004,3
Serbia,2005,13
Serbia,2006,11
Serbia,2007,16
Serbia,2008,3
Serbia,2009,1
"Serbia and Montenegro",2001,2
"Serbia and Montenegro",2002,7
"Serbia and Montenegro",2005,2
"Serbia and Montenegro",2007,1
"Sierra Leone",1992,2
"Sierra Leone",1993,1
"Sierra Leone",1994,3
"Sierra Leone",1995,7
"Sierra Leone",1998,1
"Sierra Leone",1999,6
Singapore,1974,1
Singapore,1985,1
Singapore,1987,2
Singapore,1988,1
Slovakia,1998,4
Slovakia,1999,2
Slovakia,2004,2
Slovenia,2002,1
Somalia,1975,1
Somalia,1976,2
Somalia,1984,1
Somalia,1987,1
Somalia,1990,3
Somalia,1991,3
Somalia,1992,3
Somalia,1993,20
Somalia,1994,13
Somalia,1995,4
Somalia,1996,6
Somalia,1997,1
Somalia,1998,1
Somalia,1999,1
Somalia,2001,1
Somalia,2003,2
Somalia,2004,1
Somalia,2005,5
Somalia,2006,2
Somalia,2007,97
Somalia,2008,184
Somalia,2009,19
"South Africa",1970,1
"South Africa",1974,1
"South Africa",1975,1
"South Africa",1982,1
"South Africa",1983,1
"South Africa",1984,4
"South Africa",1985,3
"South Africa",1988,3
"South Africa",1989,3
"South Africa",1990,2
"South Africa",1992,1
"South Africa",1994,3
"South Africa",1997,1
"South Africa",1998,2
"South Africa",1999,8
"South Africa",2000,11
"South Africa",2001,2
"South Africa",2002,9
"South Africa",2003,1
"South Korea",1971,1
"South Korea",1974,1
"South Korea",1982,2
"South Korea",1983,1
"South Korea",1986,2
"South Korea",1988,15
"South Korea",1989,6
"South Korea",1990,3
"South Korea",1991,2
"South Korea",1993,1
"South Korea",1996,2
"South Korea",1997,1
"South Korea",2002,1
Spain,1968,1
Spain,1969,2
Spain,1970,1
Spain,1971,2
Spain,1972,2
Spain,1973,3
Spain,1974,5
Spain,1975,2
Spain,1976,8
Spain,1977,8
Spain,1978,5
Spain,1979,18
Spain,1980,10
Spain,1981,5
Spain,1982,10
Spain,1983,18
Spain,1984,24
Spain,1985,16
Spain,1986,31
Spain,1987,27
Spain,1988,28
Spain,1989,17
Spain,1990,11
Spain,1991,7
Spain,1992,5
Spain,1993,2
Spain,1994,3
Spain,1995,2
Spain,1996,7
Spain,1997,1
Spain,1998,109
Spain,1999,172
Spain,2000,210
Spain,2001,236
Spain,2002,114
Spain,2003,46
Spain,2004,51
Spain,2005,67
Spain,2006,48
Spain,2007,39
Spain,2008,39
Spain,2009,16
"Sri Lanka",1971,1
"Sri Lanka",1984,1
"Sri Lanka",1986,4
"Sri Lanka",1987,2
"Sri Lanka",1988,3
"Sri Lanka",1989,6
"Sri Lanka",1991,2
"Sri Lanka",1994,1
"Sri Lanka",1995,1
"Sri Lanka",1996,5
"Sri Lanka",1997,6
"Sri Lanka",1998,16
"Sri Lanka",1999,18
"Sri Lanka",2000,24
"Sri Lanka",2001,11
"Sri Lanka",2003,4
"Sri Lanka",2004,6
"Sri Lanka",2005,83
"Sri Lanka",2006,87
"Sri Lanka",2007,41
"Sri Lanka",2008,24
"Sri Lanka",2009,4
Sudan,1950,1
Sudan,1951,1
Sudan,1952,1
Sudan,1953,1
Sudan,1954,2
Sudan,1955,5
Sudan,1956,4
Sudan,1957,2
Sudan,1958,4
Sudan,1959,1
Sudan,1960,1
Sudan,1961,1
Sudan,1962,1
Sudan,1963,2
Sudan,1964,6
Sudan,1965,2
Sudan,1966,1
Sudan,1967,2
Sudan,1968,2
Sudan,1969,1
Sudan,1970,2
Sudan,1971,1
Suriname,1987,1
Suriname,1988,2
Suriname,1989,1
Suriname,1990,2
Swaziland,1982,1
Swaziland,1987,1
Swaziland,1998,2
Sweden,1971,2
Sweden,1972,5
Sweden,1975,4
Sweden,1979,1
Sweden,1984,1
Sweden,1985,1
Sweden,1986,4
Sweden,1988,1
Sweden,1990,6
Sweden,1991,2
Sweden,1992,3
Sweden,1993,3
Sweden,1994,1
Sweden,1995,1
Sweden,1997,1
Sweden,1999,1
Sweden,2000,2
Sweden,2002,1
Sweden,2004,1
Sweden,2005,4
Switzerland,1969,1
Switzerland,1970,3
Switzerland,1971,1
Switzerland,1972,5
Switzerland,1973,1
Switzerland,1974,2
Switzerland,1975,1
Switzerland,1976,2
Switzerland,1977,3
Switzerland,1978,2
Switzerland,1979,2
Switzerland,1980,7
Switzerland,1981,10
Switzerland,1982,8
Switzerland,1983,1
Switzerland,1985,5
Switzerland,1987,2
Switzerland,1988,2
Switzerland,1989,2
Switzerland,1990,1
Switzerland,1993,4
Switzerland,1995,5
Switzerland,1996,3
Switzerland,1998,2
Switzerland,1999,1
Switzerland,2000,2
Switzerland,2001,1
Switzerland,2003,2
Switzerland,2004,1
Switzerland,2006,2
Syria,1974,3
Syria,1975,2
Syria,1976,3
Syria,1977,1
Syria,1979,1
Syria,1980,1
Syria,1981,1
Syria,1983,1
Syria,1984,2
Syria,1986,2
Syria,1989,1
Syria,1996,1
Syria,2004,1
Syria,2005,1
Syria,2006,1
Syria,2008,1
Taiwan,1970,1
Taiwan,1971,1
Taiwan,1988,1
Taiwan,2004,1
Tajikistan,1993,1
Tajikistan,1995,4
Tajikistan,1996,4
Tajikistan,1997,6
Tajikistan,1998,16
Tajikistan,2000,10
Tajikistan,2001,9
Tajikistan,2002,1
Tajikistan,2003,1
Tajikistan,2005,1
Tajikistan,2006,3
Tajikistan,2007,2
Tajikistan,2008,1
Tanzania,1975,1
Tanzania,1982,1
Tanzania,1989,1
Tanzania,1993,1
Tanzania,1998,1
Tanzania,1999,1
Tanzania,2000,1
Tanzania,2004,2
Thailand,1970,1
Thailand,1972,1
Thailand,1974,1
Thailand,1978,2
Thailand,1979,1
Thailand,1982,2
Thailand,1983,1
Thailand,1985,1
Thailand,1986,2
Thailand,1987,1
Thailand,1988,1
Thailand,1989,1
Thailand,1990,4
Thailand,1992,1
Thailand,1993,1
Thailand,1994,2
Thailand,1997,3
Thailand,1998,3
Thailand,1999,2
Thailand,2000,1
Thailand,2001,17
Thailand,2002,25
Thailand,2003,1
Thailand,2004,169
Thailand,2005,363
Thailand,2006,356
Thailand,2007,744
Thailand,2008,301
Thailand,2009,1
Timor,1998,3
Timor,1999,5
Timor,2000,1
Timor,2001,1
Togo,1994,1
Togo,2003,2
"Trinidad and Tobago",1976,1
"Trinidad and Tobago",2007,1
Tunisia,1950,1
Tunisia,1951,1
Tunisia,1952,1
Tunisia,1953,2
Tunisia,1954,1
Tunisia,1955,4
Tunisia,1956,2
Tunisia,1957,1
Tunisia,1958,1
Tunisia,1959,1
Tunisia,1960,1
Turkey,1968,1
Turkey,1969,1
Turkey,1970,13
Turkey,1971,22
Turkey,1972,4
Turkey,1974,1
Turkey,1975,9
Turkey,1976,15
Turkey,1977,18
Turkey,1978,15
Turkey,1979,29
Turkey,1980,10
Turkey,1981,3
Turkey,1982,5
Turkey,1983,3
Turkey,1984,1
Turkey,1985,4
Turkey,1986,5
Turkey,1987,6
Turkey,1988,11
Turkey,1989,12
Turkey,1990,8
Turkey,1991,30
Turkey,1992,19
Turkey,1993,19
Turkey,1994,15
Turkey,1995,8
Turkey,1996,8
Turkey,1997,2
Turkey,1998,86
Turkey,1999,304
Turkey,2000,110
Turkey,2001,64
Turkey,2002,35
Turkey,2003,78
Turkey,2004,105
Turkey,2005,80
Turkey,2006,80
Turkey,2007,5
Turkey,2008,29
Turkey,2009,6
Turkmenistan,2002,1
Uganda,1978,1
Uganda,1982,2
Uganda,1983,1
Uganda,1984,1
Uganda,1988,1
Uganda,1990,1
Uganda,1991,1
Uganda,1993,2
Uganda,1996,5
Uganda,1997,2
Uganda,1998,6
Uganda,1999,9
Uganda,2000,3
Uganda,2001,3
Uganda,2002,1
Uganda,2003,4
Uganda,2004,7
Uganda,2005,12
Uganda,2007,1
Ukraine,1995,1
Ukraine,1997,1
Ukraine,1998,9
Ukraine,1999,1
Ukraine,2000,1
Ukraine,2001,2
Ukraine,2002,7
Ukraine,2004,2
Ukraine,2006,2
"United Arab Emirates",1974,1
"United Arab Emirates",1976,1
"United Arab Emirates",1977,3
"United Arab Emirates",1985,1
"United Arab Emirates",1986,1
"United Arab Emirates",1989,1
"United Arab Emirates",1991,1
"United Arab Emirates",1999,1
"United Kingdom",1969,4
"United Kingdom",1970,5
"United Kingdom",1971,1
"United Kingdom",1972,11
"United Kingdom",1973,3
"United Kingdom",1974,4
"United Kingdom",1975,4
"United Kingdom",1977,3
"United Kingdom",1978,8
"United Kingdom",1979,2
"United Kingdom",1980,10
"United Kingdom",1981,2
"United Kingdom",1982,3
"United Kingdom",1983,16
"United Kingdom",1984,10
"United Kingdom",1985,3
"United Kingdom",1986,5
"United Kingdom",1987,6
"United Kingdom",1988,3
"United Kingdom",1989,13
"United Kingdom",1990,4
"United Kingdom",1991,5
"United Kingdom",1992,6
"United Kingdom",1993,5
"United Kingdom",1994,6
"United Kingdom",1995,5
"United Kingdom",1996,1
"United Kingdom",1997,8
"United Kingdom",1998,66
"United Kingdom",1999,62
"United Kingdom",2000,47
"United Kingdom",2001,191
"United Kingdom",2002,96
"United Kingdom",2003,99
"United Kingdom",2004,76
"United Kingdom",2005,84
"United Kingdom",2006,4
"United Kingdom",2007,9
"United Kingdom",2008,7
"United Kingdom",2009,12
"United States",1968,36
"United States",1969,2
"United States",1970,18
"United States",1971,25
"United States",1972,13
"United States",1973,14
"United States",1974,14
"United States",1975,45
"United States",1976,41
"United States",1977,26
"United States",1978,20
"United States",1979,24
"United States",1980,29
"United States",1981,26
"United States",1982,30
"United States",1983,16
"United States",1984,6
"United States",1985,3
"United States",1986,3
"United States",1987,6
"United States",1988,3
"United States",1989,8
"United States",1990,2
"United States",1991,4
"United States",1992,1
"United States",1993,2
"United States",1994,3
"United States",1995,1
"United States",1996,2
"United States",1997,16
"United States",1998,7
"United States",1999,8
"United States",2000,9
"United States",2001,36
"United States",2002,16
"United States",2003,18
"United States",2004,7
"United States",2005,13
"United States",2006,1
"United States",2007,4
"United States",2008,3
"United States",2009,6
Uruguay,1968,2
Uruguay,1969,1
Uruguay,1970,6
Uruguay,1971,7
Uruguay,1972,2
Uruguay,1990,1
Uruguay,1991,1
Uruguay,1994,1
Uruguay,1997,1
Uruguay,2005,3
Uruguay,2006,1
USSR,1971,1
USSR,1980,1
USSR,1983,1
USSR,1985,1
USSR,1991,4
USSR,1992,2
Uzbekistan,1999,4
Uzbekistan,2001,1
Uzbekistan,2004,8
Uzbekistan,2005,1
Uzbekistan,2009,2
Venezuela,1970,1
Venezuela,1971,2
Venezuela,1972,4
Venezuela,1973,2
Venezuela,1974,5
Venezuela,1976,5
Venezuela,1981,2
Venezuela,1983,1
Venezuela,1984,2
Venezuela,1986,2
Venezuela,1987,3
Venezuela,1988,1
Venezuela,1989,2
Venezuela,1990,3
Venezuela,1991,3
Venezuela,1992,3
Venezuela,1993,2
Venezuela,1994,2
Venezuela,1995,1
Venezuela,1996,6
Venezuela,1997,3
Venezuela,1998,15
Venezuela,1999,6
Venezuela,2000,9
Venezuela,2001,7
Venezuela,2002,20
Venezuela,2003,26
Venezuela,2004,9
Venezuela,2005,9
Venezuela,2006,5
Venezuela,2008,1
Vietnam,1975,1
Vietnam,1992,1
Vietnam,2001,1
"Western Sahara",1980,1
"Western Sahara",1981,1
"Western Sahara",1988,1
World,1968,98
World,1969,102
World,1970,179
World,1971,154
World,1972,198
World,1973,153
World,1974,231
World,1975,210
World,1976,327
World,1977,233
World,1978,222
World,1979,243
World,1980,236
World,1981,301
World,1982,358
World,1983,285
World,1984,327
World,1985,435
World,1986,377
World,1987,361
World,1988,369
World,1989,359
World,1990,286
World,1991,420
World,1992,272
World,1993,272
World,1994,310
World,1995,268
World,1996,238
World,1997,184
World,1998,1286
World,1999,1171
World,2000,1151
World,2001,1732
World,2002,2648
World,2003,1899
World,2004,2647
World,2005,4995
World,2006,6660
World,2007,4526
World,2008,2846
World,2009,560
Yemen,1971,1
Yemen,1980,1
Yemen,1986,1
Yemen,1988,1
Yemen,1991,5
Yemen,1992,4
Yemen,1993,9
Yemen,1994,6
Yemen,1996,2
Yemen,1997,10
Yemen,1998,38
Yemen,1999,12
Yemen,2000,3
Yemen,2001,12
Yemen,2002,5
Yemen,2003,3
Yemen,2004,2
Yemen,2005,6
Yemen,2006,6
Yemen,2008,9
Yugoslavia,1969,1
Yugoslavia,1977,2
Yugoslavia,1980,1
Yugoslavia,1983,1
Yugoslavia,1992,1
Yugoslavia,1994,1
Zambia,1973,2
Zambia,1977,1
Zambia,1987,1
Zambia,1988,2
Zambia,1989,1
Zambia,1992,1
Zambia,1999,1
Zimbabwe,1972,1
Zimbabwe,1976,2
Zimbabwe,1977,4
Zimbabwe,1978,6
Zimbabwe,1979,1
Zimbabwe,1982,2
Zimbabwe,1985,1
Zimbabwe,1987,5
Zimbabwe,1988,1
Zimbabwe,1990,1
Zimbabwe,1991,2
Zimbabwe,1995,1
Zimbabwe,2007,1
